微分積分学第一・演習H（48～53）,教科書,「解析入門I」・杉浦光夫・東京大学出版会
微分積分学第一・演習A(1～7),教科書,"解析入門 I，杉浦光夫,  基礎数学2, 東京大学出版会，1982."
修士キャリアデザインA2,教科書,市販教科書は使わず、担当教員が用意した内容を毎回講義資料としてOCW-iにアップする。
微分積分学第一・演習I（54～60）,教科書,「理工系の微分積分学」吹田信之・神保経彦　学術図書出版社
言語学Ｃ,教科書,特に購入の必要はないが、以下を読むことを推薦する。
言語学Ｃ,教科書,"William O'Gradyら, Contemporary Linguistics, An Introduction. Chapter 11~14,Bedford/St.Martin's."
言語学Ｃ,教科書,"(言語学A,B,Cを通して受講する学生には強く推奨する)							"
言語学Ｃ,教科書,"Eric R. Kandelら, Principles of Neural Science, Mc Graw Hill, Part IX."
言語学Ｃ,教科書,(生命理工学院の300番台授業、「基礎神経科学」及び400番台授業、「神経科学」でそれに沿った授業をするので、それらを受講する学生には強く推奨する)
言語学Ｃ,教科書,"Scott A. Huettel et al., Functional Magnetic Resonance Imaging, Second Edition, Sinauer Associates, Inc."
言語学Ｃ,教科書,(系でMRIを専門にしたい学生には強く推奨する)
テクニカルディスカッションA,教科書,無し
文系エッセンス２６：国際関係論,教科書,佐藤史郎、川名晋史（他編）『日本外交の論点』（法律文化社、2018年）
文系エッセンス２６：国際関係論,教科書,ISBN: 978-4-589-03903-3
社会科学系ゼミ（法学ゼミ）１,教科書,荘司 雅彦「13歳からの法学部入門」 (幻冬舎新書)を利用する。 (各自購入すること）
力学基礎１B,教科書,力学　戸田盛和
科学・技術の最前線a,教科書,特に定めない。
社会科学系ゼミ（法学ゼミ）導入１,教科書,社会科学系ゼミ（法学）履修者の参加者とともに，学期毎に相談して決定する。
社会科学系ゼミ（法学ゼミ）導入１,教科書,2020年は、荘司 雅彦 「13歳からの法学部入門」 (幻冬舎新書)を利用する。各自購入すること。
教養特論：現代社会論,教科書,必要に応じて指示する。
科学・技術の最前線d,教科書,特に定めない。
東工大立志プロジェクト28,教科書,東工大立志プロジェクトガイドブック
テクノロジーマネジメント概論A,教科書,市販教科書は使わず、担当教員が用意した内容を毎回講義資料としてプリントして配布すると同時にOCW-iにアップする。
修士キャリアプランA2,教科書,なし。
キャリア、パーソナリティ、ライフスタイルのバランス戦略B,教科書,無し
キャリア、パーソナリテイ、ライフスタイルのバランス戦略の基礎B,教科書,無し
科学・技術の最前線b,教科書,特に定めない。
博士キャリアプランA,教科書,なし。
ALP研修基礎A,教科書,無し。
知的財産概論,教科書,講師配布資料、特許庁テキスト「平成27年度知的財産権 制度説明会（初心者向け）テキスト『知的財産権制度入門』」（特許庁HPよりPDF資料を無料入手可）
文系エッセンス３７：科学史,教科書,特になし。
物理学演習第一b,教科書,授業で指定のもの
TOEIC対策セミナー第一,教科書,『レベル別 TOEIC® L&amp;Rテスト実力養成コース：中級編』（金星堂）ISBN978-4-7647-4090-7
テクニカルディスカッションB,教科書,無し
文系エッセンス３４：表象文化論,教科書,指定しない。
文系エッセンス４８：数理科学史,教科書,"David Orrell (2007), Apollo’s Arrow: The Science of Prediction and the Future of Everything, Harper Perennial."
日本人も気づいていない日本の文化とビジネスA,教科書,無し
物理学演習第一l,教科書,授業で指定のもの
意思決定論Ｂ,教科書,猪原健弘、「合理性と柔軟性－競争と社会の非合理戦略I」、勁草書房、2002年（1.1節、2章、3章、4章、5章）（ISBN-10: 4326502223、ISBN-13: 978-4326502226）
政治学Ｃ,教科書,特にない。毎回レジュメを配布する。
宇宙地球科学ＡA,教科書,宇宙地球科学，佐藤文衛・綱川秀夫著，講談社
宇宙地球科学ＡB,教科書,宇宙地球科学，佐藤文衛・綱川秀夫著，講談社
修士キャリアデザイン演習A1,教科書,指定なし
東工大立志プロジェクト8,教科書,東工大立志プロジェクトガイドブック
博士キャリアデザインA,教科書,市販教科書は使わず、担当教員が用意した内容を毎回講義資料としてプリントして配布すると同時にOCW-iにアップする。
力学基礎１N,教科書,講義ノートのpdfを事前に配布。
情報リテラシ第一1a(IL1),教科書,なし
文系エッセンス３１：シナジー社会論,教科書,今田高俊・舘岡康雄編著 『シナジー社会論』 （東京大学出版会）
世界を知る：東アジア,教科書,参考映画作品と、パワーポイントで作成した教材などを使う。
融合系ゼミ（意思決定論）導入１,教科書,必要に応じて指定する。
文系エッセンス４０：人間文化論,教科書,ヴィクトール・フランクルの『夜と霧』（池田香代子訳・みすず書房）、『それでも人生にYESと言う』（山田邦男／松田美穂訳・春秋社）。
文系エッセンス４０：人間文化論,教科書,
文系エッセンス４０：人間文化論,教科書,＊可能であれば、上記ニ冊を入手することが望ましいが、書籍の購入が困難な場合は、別途、講師（若松）もしくはアシスタントに連絡してください。
図学・図形デザイン第一,教科書,「図学概論」（須藤利一著，東京大学出版会）
東工大立志プロジェクト18,教科書,東工大立志プロジェクトガイドブック
文系エッセンス３５：メディア論,教科書,特に使用しない。その都度プリントを用意する予定
人間文化論Ｂ,教科書,内村鑑三『代表的日本人』『後世への最大遺物』（岩波文庫）。
人間文化論Ｂ,教科書,
人間文化論Ｂ,教科書,*可能であれば、上記ニ冊を入手することが望ましいが、書籍の購入が困難な場合は、別途、講師（若松）もしくはアシスタントに連絡してください。
日本語・日本文化研究1,教科書,特に指定しない。
修士キャリアプランB,教科書,なし。
力学基礎１P,教科書,古典力学
物理学演習第一k,教科書,授業で指定のもの
物理学演習第一p,教科書,授業で指定のもの
国際関係論Ｂ,教科書,特になし。毎回レジュメを配布する。
TOEFL対策セミナー（リーディング＆ライティング）第一5,教科書,"Lucas, 川端,　鈴木. 『TOEFL iBTテスト英語4技能完全対策演習』（松柏社, 2017）"
TOEFL対策セミナー（リーディング＆ライティング）第一5,教科書,"妻鳥, Stafford, 松井, 水本.『TOEFL TEST英単語スピードマスター(CD2枚付)』(Jリサーチ出版, 2006)"
環境安全論B,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
科学・技術の最前線c,教科書,特に定めない。
世界を知る：ヨーロッパ,教科書,なし。毎回レジュメを配布する。
線形代数学第一・演習K(68～73),教科書,村山光孝『工学のための線形代数』（数理工学社）
有機化学基礎J,教科書,理工系学生のための基礎化学　有機化学 2020年度版，鈴木他，化学同人
生命科学基礎第一１A,教科書,スター「生物学」（東京化学同人）
環境安全論B,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
東工大立志プロジェクト1,教科書,東工大立志プロジェクトガイドブック
経済学Ａ,教科書,特に指定しない。講義資料を配布する。
微分積分学第一・演習F(34～40),教科書,理工系の微分積分学・吹田信之，新保経彦・学術図書出版
微分積分学第一・演習L（74～80）,教科書,「入門微分積分」 三宅敏恒・培風館
環境安全論A,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
教養特論：大学史,教科書,必要な資料は事前にOCW-iにアップする。
教育工学,教科書,"・松田稔樹, 星野敦子, 波多野和彦(2013)　学習者とともに取り組む授業改善－授業設計・教育の方法および技術・学習評価－, 学文社"
教育工学,教科書,"・松田稔樹, 星野敦子, 狩野浩二, 津吹卓(2012)　自ら学び考える教職教養－教育課程・制度・法規－, 学文社"
